"Time In, Zone", Timestamp In," Time Out, Zone",Timestamp Out,Total Time
PDT,2022-10-23_15:9:28,PDT,2022-10-23_15:9:29,0:0:00
PDT,2022-10-23_15:9:50,PDT,2022-10-23_15:9:55,0:0:05
PDT,2022-10-23_15:10:1,PDT,2022-10-23_15:10:4,0:0:02
