"Time In, Zone", Timestamp In," Time Out, Zone",Timestamp Out,Total Time
PDT,2022-10-23_15:0:38,PDT,2022-10-23_15:0:40,0:0:02
PDT,2022-10-23_15:0:46,PDT,2022-10-23_15:0:47,0:0:01
PDT,2022-10-23_15:8:32,PDT,2022-10-23_15:8:36,0:0:03
PDT,2022-10-23_15:9:2,PDT,2022-10-23_15:9:4,0:0:02
